Opportunity Name,Opportunity Type,Stage,Created Date,EM Gross Planned Value Currency,EM Gross Planned Value (converted),Schedule Amount,Revenue Type,Programmatic Area,FR Purpose/Outcome,Emergency/HAC,Opportunity Lead Entity,Account/Donor Name,Gross Value in USD (Formula),Emergency/HAC Appeal,Recipient Entity,Beneficiary Country/Recipient Country,Beneficiary Region,Opportunity ID,Account ID,Opportunity Gross Value (converted) Currency,Opportunity Gross Value (converted),Account Category,Account Record Type,Account Level,Account Lead Entity,Lead Account's Region,Account Mailing Country,Lead NatCom/CO Acc. Category,Lead NatCom/CO ID,Lead Entity's UNICEF Region,Account: Created Date,Opportunity Lead Entity Name (Formula),Secondary donor,ISO Code,Business Area (CO/RO/PD),Donor,Type of donors,Funding Type ,Goals,Results,Regional Priority Areas,UNICEF Region,Year,Opportunity Type
Partnership Funding,Private,Negotiating/Contracting,4/29/2024,Dollor,64326.41019,1940.94583,Revenue Type,Immunization,Advocacy,HAC-STATE OF PALESTINE,,ECHO,58533.92917,,,Fiji,,,,59087.84561,13264980,Global/Regional Multilaterals,Private Sector,,KYRGYZSTAN CO,ROSA,Russian Federation,,,ESARO,4/29/2024,PPD,European Investment Bank,FJI,Fiji,ECHO,EU,Other Resources Emergency,ADAP,R3,Thriving,EAPRO,2022,Private
Innovation and Research Grants,Private,Initial Meetings,5/24/2024,Dollor,54936.66797,8218.617341,Revenue Type,Malaria,Child Protection,Emergency/HAC,,C,32052.83692,,,Finland,,,,4994.689969,20520846,Multi-Stakeholder Partnership,Private Sector,,MONTENEGRO CO,HQ,Belarus,,,MENARO,5/24/2024,CROATIA CO,The United Kingdom,FIN,Finland,C,Private,Other Resources Regular,WASH,R1,Protecting,ECA,2023,Private
Global Thematic Programs,Private,Initial Meetings,1/24/2024,Dollor,12455.93703,76927.1236,ORR Non-Thematic,Nutrition – Overweight & Obesity,Child Protection,HAC-UKRAINE,,EU ECHO,72416.03601,,,France,,,,52589.89185,16064773,Governmental Organization,Private Sector,,FRANCE NATCOM,ROSA,Albania,,,ECARO,1/24/2024,GREECE CO,Bureau for Humanitarian Assistance,FRA,France,EU ECHO,Bilateral,Other Resources Emergency,Education,R4,Learning,ECA,2023,Private
Development Initiatives,Private,Secured/Won,1/28/2024,Dollor,49897.38441,67757.86702,ORR Non-Thematic,ACT-A/COVAX Pillar 3: Vaccine introduction and roll out,Increased Immunization Rates,HAC-ECARO,,Natcom d,91413.49233,,,Gabon,,,,26130.56481,8343716,Central Government,Corporate Account,,DENMARK NATCOM,ROSA,France,,,HQ,1/28/2024,CROATIA CO,African Development Bank (AfDB),GAB,Gabon,Natcom d,EU,Other Resources Emergency,WASH,R4,Learning,SSA,2024,Private
Development Initiatives,Private,Negotiating/Contracting,9/12/2024,Dollor,67734.28241,19104.01136,Revenue Type,PFP,Advocacy,HAC-UKRAINE,,ECHO,30582.82902,,,Gambia,,,,63113.83226,22429813,UN Agency/International Agency,Private Sector,,UKRAINE CO,HQ,Bulgaria,,,ECARO,9/12/2024,PPD,European Investment Bank,GMB,Gambia,ECHO,EU,Other Resources Regular,SP,R3,Protecting,SSA,2023,Private
Humanitarian Funding,Private,Secured/Won,8/12/2024,Dollor,8294.939013,66894.54966,ORR Non-Thematic,"Financial, information and communication technology and administrative managemen",Child Protection,Ukraine Response,,Natcom c,50291.45906,,,Georgia,,,,80465.34152,10807110,Non-Profit/NGO Foundations,Public Sector,,UK NATCOM,MENARO,Uzbekistan,,,ECARO,8/12/2024,ARMENIA CO,USA (State) BPRM,GEO,Georgia,Natcom c,Bilateral,Other Resources Regular,SP,R4,Learning,ECA,2022,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,7/25/2024,Dollor,60526.56074,60954.91278,ORR Non-Thematic,Economic and social policy general,Advocacy,Emergency/HAC,,Natcom c,67968.9444,,,Germany,,,,71633.45004,5628109,Corporate Foundation,Private Sector,,SENEGAL CO,NatCom,Serbia,,,ECARO,7/25/2024,TAJIKISTAN CO,USA (State) BPRM,DEU,Germany,Natcom c,Bilateral,Other Resources Regular,ADAP,R4,Thriving,ECA,2023,Private
Innovation and Research Grants,Public,Secured/Won,10/11/2024,Dollor,62845.05906,75245.2294,Revenue Type,"Violence, exploitation and abuse",Health,Emergency/HAC,,C,21634.44238,,,Ghana,,,,66600.58491,10540879,Corporate,UNICEF NatCom/CO/Division,,INDIA CO,MENARO,United States,,,HQ,10/11/2024,KYRGYZSTAN CO,African Development Bank (AfDB),GHA,Ghana,C,EU,Other Resources Regular,ADAP,R3,Connecting,SSA,2023,Private
Innovation and Research Grants,Private,Negotiating/Contracting,10/6/2024,Dollor,74923.10567,55108.65099,ORR Non-Thematic,Education – General,Child Protection,Emergency/HAC,,C,69308.28603,,,Greece,,,,67411.73968,15936368,Ministry,Private Sector,,SERBIA CO,MENARO,Qatar,,,NatCom,10/6/2024,TURKIYE CO,The United Kingdom,GRC,Greece,C,Private,Other Resources Emergency,CP,R2,Connecting,ECA,2023,Private
Global Thematic Programs,Private,Initial Meetings,5/30/2024,Dollor,80541.35073,17808.42129,Revenue Type,"External relations and partnerships, communication and resource mobilization",Health,HAC-STATE OF PALESTINE,,G,26704.72095,,,Grenada,,,,39480.5375,18649630,Other,Corporate Account,,TAJIKISTAN CO,NatCom,Armenia,,,ECARO,5/30/2024,GEORGIA CO,Unilever,GRD,Grenada,G,Bilateral,Other Resources Regular,SP,R5,Including,LACRO,2022,Private
Development Initiatives,Private,Negotiating/Contracting,8/3/2024,Dollor,78600.5416,87320.44669,Revenue Type,Health and emergencies,Emergency Response,HAC-UKRAINE,,G,60873.30399,,,Guatemala,,,,14856.60764,35124806,Governmental Organization,Corporate Account,,QATAR CO,WCARO,United States,,,NatCom,8/3/2024,ARMENIA CO,Unilever,GTM,Guatemala,G,Bilateral,Other Resources Emergency,Education,R1,Including,LACRO,2024,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,2/10/2024,Dollor,85848.50966,7245.142965,ORR Non-Thematic,Nutrition and HIV,Child Protection,HAC-ARMENIA,,ECHO,5850.043433,,,Guinea,,,,53861.7158,22375918,Membership based organizations,Private Sector,,KOSOVO CO,MENARO,Moldova,,,ESARO,2/10/2024,MONTENEGRO CO,European Investment Bank,GIN,Guinea,ECHO,EU,Other Resources Regular,CP,R4,Connecting,SSA,2024,Private
Development Initiatives,Private,Negotiating/Contracting,3/22/2024,Dollor,61778.88467,36998.94753,Revenue Type,"Cross-sectoral monitoring, data and situation analyses",Increased Immunization Rates,HAC-UKRAINE,,EU ECHO,37286.53784,,,Guinea-Bissau,,,,19228.70027,18798334,Ministry,Private Sector,,CHINA CO,EAPRO,Switzerland,,,HQ,3/22/2024,SOMALIA CO,Bureau for Humanitarian Assistance,GNB,Guinea-Bissau,EU ECHO,Bilateral,Other Resources Emergency,SP,R3,Connecting,SSA,2023,Private
Country Programmes,Public,Negotiating/Contracting,10/29/2024,Dollor,58180.74014,20762.60165,ORR Non-Thematic,Private sector fundraising,Health,HAC-STATE OF PALESTINE,,Natcom c,47596.3669,,,Guyana,,,,41761.90655,25220694,Central Government,Private Sector,,MONTENEGRO CO,EAPRO,Ukraine,,,ECARO,10/29/2024,SOMALIA CO,World Bank - Washington D.C.,GUY,Guyana,Natcom c,Private,Other Resources Emergency,SP,R5,Including,LACRO,2023,Private
Development Initiatives,Private,Secured/Won,1/18/2024,Dollor,63381.54943,96998.48535,ORE-Thematic,Other cross-sectoral programme areas,Advocacy,HAC-ARMENIA,,Natcom A,25780.49647,,,Haiti,,,,26376.45756,31439213,Central Government,Private Sector,,CROATIA CO,ROSA,Moldova,,,ESARO,1/18/2024,ALBANIA CO,Bureau for Humanitarian Assistance,HTI,Haiti,Natcom A,Bilateral,Other Resources Regular,CP,R2,Connecting,LACRO,2022,Private
Humanitarian Funding,Private,Initial Meetings,8/28/2024,Dollor,92889.23247,14782.83084,ORE-Thematic,PFP,Education,HAC-ARMENIA,,Natcom A,54393.98639,,,Holy See,,,,4529.139311,22169805,Governmental Organization,Private Sector,,TAJIKISTAN CO,ROSA,Albania,,,ESARO,8/28/2024,LEBANON CO,World Bank - Washington D.C.,VAT,Holy See,Natcom A,Private,Other Resources Emergency,ADAP,R2,Thriving,ECA,2024,Private
Development Initiatives,Private,Initial Meetings,7/9/2024,Dollor,8544.243608,4850.99209,ORR Non-Thematic,"Policy, guidance and technical support for country programming and reporting",Child Protection,HAC-UKRAINE,,G,34544.86782,,,Honduras,,,,60373.318,18517026,Foundation,Private Sector,,TAJIKISTAN CO,EAPRO,Netherlands,,,ESARO,7/9/2024,GREECE CO,The United Kingdom,HND,Honduras,G,Private,Other Resources Regular,WASH,R4,Thriving,LACRO,2023,Private
Development Initiatives,Private,Initial Meetings,5/12/2024,Dollor,82503.04273,45234.71384,Revenue Type,ACT-A/COVAX Pillar 2 - Therapeutics,Child Protection,HAC-ECARO,,Natcom c,89749.05498,,,Hungary,,,,67358.83456,11121378,Governmental Organization,Private Sector,,NETHERLANDS NATCOM,EAPRO,Denmark,,,ECARO,5/12/2024,GEORGIA CO,World Bank - Washington D.C.,HUN,Hungary,Natcom c,Private,Other Resources Emergency,ADAP,R1,Including,ECA,2022,Private
Emergency Response,Public,Secured/Won,4/1/2024,Dollor,85064.35807,1773.855559,ORR Non-Thematic,PFP,Child Protection,HAC-UKRAINE,,Natcom c,64262.34532,,,Iceland,,,,83780.5696,3439093,Ministry,Public Sector,,PPD,HQ,Serbia,,,MENARO,4/1/2024,GEORGIA CO,African Development Bank (AfDB),ISL,Iceland,Natcom c,EU,Other Resources Emergency,SP,R1,Thriving,ECA,2024,Private
Global Thematic Programs,Private,Secured/Won,2/9/2024,Dollor,64296.75728,46072.58042,ORR Non-Thematic,Emergencies,Child Protection,HAC-UKRAINE,,C,27858.72483,,,India,,,,75209.57472,3192416,Corporate,Private Sector,,MOLDOVA CO,ECARO,Switzerland,,,ESARO,2/9/2024,MOLDOVA CO,The United Kingdom,IND,India,C,Private,Other Resources Regular,SP,R4,Including,ROSA,2024,Private
Global Thematic Programs,Private,Negotiating/Contracting,7/12/2024,Dollor,64763.79314,33667.00534,ORE-Thematic,Immunization,Increased Immunization Rates,Emergency/HAC,,Natcom A,39294.21793,,,Indonesia,,,,93055.71056,33483354,UN Agency/International Agency,Public Sector,,US FUND,MENARO,France,,,MENARO,7/12/2024,GREECE CO,Bureau for Humanitarian Assistance,IDN,Indonesia,Natcom A,Bilateral,Other Resources Regular,Child Protection,R3,Thriving,EAPRO,2022,Private
Country Programmes,Public,Initial Meetings,3/1/2024,Dollor,8244.999968,54474.20739,ORE-Thematic,Health – General,Emergency Response,HAC-STATE OF PALESTINE,,Natcom d,98201.8322,,,Iran (Islamic Republic of),,,,12058.30336,26931710,Account Category,Private Sector,,PPD,MENARO,Armenia,,,ESARO,3/1/2024,MONTENEGRO CO,Bureau for Humanitarian Assistance,IRN,Iran (Islamic Republic of),Natcom d,Bilateral,Other Resources Regular,Child Protection,R2,Thriving,MENA,2023,Private
Development Initiatives,Private,Secured/Won,4/25/2024,Dollor,63524.89752,23216.33804,ORE-Thematic,Social protection and child poverty,Education,HAC-ARMENIA,,G,68037.73053,,,Iraq,,,,20981.42583,4852545,Foundation,Private Sector,,ROMANIA CO,WCARO,Serbia,,,ECARO,4/25/2024,TURKIYE NATCOM,Unilever,IRQ,Iraq,G,Bilateral,Other Resources Regular,CP,R4,Learning,MENA,2022,Private
Global Thematic Programs,Private,Negotiating/Contracting,8/25/2024,Dollor,76732.86157,99470.23129,Revenue Type,Social protection and child poverty,Child Protection,Ukraine Response,,Natcom A,50730.46227,,,Ireland,,,,96063.25225,22937019,Country Office,Private Sector,,PPD,MENARO,Switzerland,,,MENARO,8/25/2024,ALBANIA CO,African Development Bank (AfDB),IRL,Ireland,Natcom A,EU,Other Resources Regular,CP,R3,Protecting,ECA,2024,Private
Global Thematic Programs,Private,Secured/Won,6/23/2024,Dollor,62322.24613,4186.753338,ORE-Thematic,Public finance and local governance,Emergency Response,Ukraine Response,,Natcom A,57958.43839,,,Israel,,,,66156.1146,12679662,Women's and diaspora organizations,Private Sector,,MOLDOVA CO,NatCom,Belarus,,,ESARO,6/23/2024,LEBANON CO,World Bank - Washington D.C.,ISR,Israel,Natcom A,Private,Other Resources Emergency,Education,R2,Protecting,MENA,2022,Private
Country Programmes,Public,Initial Meetings,2/12/2024,Dollor,14301.77167,38092.58886,Revenue Type,Transparency in information and official documents,Increased Immunization Rates,HAC-ECARO,,Natcom A,65058.2391,,,Italy,,,,79251.20648,43178,Multi-Stakeholder Partnership,Private Sector,,QATAR CO,WCARO,Tajikistan,,,MENARO,2/12/2024,LEBANON CO,World Bank - Washington D.C.,ITA,Italy,Natcom A,Private,Other Resources Regular,Health,R4,Including,ECA,2024,Private
Advocacy and Policy Support,Public,Secured/Won,11/14/2024,Dollor,91385.59193,94862.49611,ORE-Thematic,Child health,Health,Ukraine Response,,Natcom A,82100.52795,,,Jamaica,,,,13780.52929,38470235,University/Education Org.,Private Sector,,ALBANIA CO,WCARO,Albania,,,MENARO,11/14/2024,UZBEKISTAN CO,African Development Bank (AfDB),JAM,Jamaica,Natcom A,EU,Other Resources Regular,ADAP,R5,Connecting,LACRO,2024,Private
Humanitarian Funding,Private,Negotiating/Contracting,3/1/2024,Dollor,37627.92041,67214.01972,Revenue Type,"Financial, information and communication technology and administrative managemen",Child Protection,HAC-STATE OF PALESTINE,,C,46930.57034,,,Japan,,,,75194.23432,10037317,Corporate,Private Sector,,CROATIA CO,ROSA,Croatia,,,HQ,3/1/2024,US FUND,African Development Bank (AfDB),JPN,Japan,C,EU,Other Resources Emergency,Health,R5,Thriving,EAPRO,2024,Private
Country Programmes,Public,Negotiating/Contracting,6/24/2024,Dollor,87504.21744,89422.7224,ORR Non-Thematic,Other cross-sectoral programme areas,Child Protection,HAC-UKRAINE,,C,54244.89997,,,Jordan,,,,1325.461511,32871074,Non-Profit/NGO Foundations,Public Sector,,INDIA CO,EAPRO,Croatia,,,ESARO,6/24/2024,TAJIKISTAN CO,The United Kingdom,JOR,Jordan,C,Private,Other Resources Emergency,ADAP,R3,Connecting,MENA,2022,Private
Country Programmes,Public,Negotiating/Contracting,4/12/2024,Dollor,40647.00002,80005.40809,ORE-Thematic,Micronutrients,Education,Emergency/HAC,,C,19936.83743,,,Kazakhstan,,,,95311.27973,35004485,Corporate,Corporate Account,,INDIA CO,ECARO,Albania,,,HQ,4/12/2024,MONTENEGRO CO,African Development Bank (AfDB),KAZ,Kazakhstan,C,EU,Other Resources Regular,SP,R5,Protecting,ECA,2024,Private
Country Programmes,Public,Negotiating/Contracting,1/31/2024,Dollor,64797.46862,79408.60734,Revenue Type,Staff and premises security,Health,HAC-UKRAINE,,ECHO,9343.414326,,,Kenya,,,,41741.36844,1241063,Membership based organizations,UNICEF NatCom/CO/Division,,SENEGAL CO,ROSA,Uzbekistan,,,ESARO,1/31/2024,ARMENIA CO,European Investment Bank,KEN,Kenya,ECHO,Private,Other Resources Emergency,CP,R2,Thriving,SSA,2024,Private
Innovation and Research Grants,Private,Secured/Won,1/30/2024,Dollor,56886.93918,72923.26456,ORR Non-Thematic,ACT-A/COVAX Pillar 2 - Therapeutics,Health,HAC-UKRAINE,,C,45644.08488,,,Kiribati,,,,46562.84586,28996080,Corporate Foundation,Private Sector,,GREECE CO,ROSA,Moldova,,,HQ,1/30/2024,UKRAINE CO,The United Kingdom,KIR,Kiribati,C,Private,Other Resources Regular,Health,R1,Including,EAPRO,2023,Private
Humanitarian Funding,Private,Initial Meetings,5/1/2024,Dollor,64873.21684,93670.93335,Revenue Type,ACT-A/COVAX Pillar 2 - Therapeutics,Increased Immunization Rates,HAC-ARMENIA,,C,78573.66062,,,Kuwait,,,,41946.43481,25276010,Other,Public Sector,,KYRGYZSTAN CO,NatCom,United States,,,NatCom,5/1/2024,BULGARIA CO,African Development Bank (AfDB),KWT,Kuwait,C,EU,Other Resources Regular,Education,R1,Including,MENA,2023,Private
Innovation and Research Grants,Private,Initial Meetings,5/6/2024,Dollor,53367.62756,39928.17446,Revenue Type,Cross-sectoral Early Childhood Development,Child Protection,HAC-UKRAINE,,Natcom A,26041.64834,,,Kyrgyzstan,,,,99372.29667,32946612,Sport Associations,Public Sector,,TURKIYE CO,ECARO,Montenegro,,,MENARO,5/6/2024,ALBANIA CO,World Bank - Washington D.C.,KGZ,Kyrgyzstan,Natcom A,Private,Other Resources Regular,WASH,R2,Including,ECA,2022,Private
Partnership Funding,Private,Negotiating/Contracting,2/2/2024,Dollor,16846.3112,36319.67528,Revenue Type,"Protect, care and support children and families affected by HIV",Child Protection,Emergency/HAC,,G,71361.97344,,,Lao People's Democratic Republic,,,,64673.78346,34995713,Country Office,Private Sector,,CROATIA CO,ROSA,Tajikistan,,,MENARO,2/2/2024,UKRAINE CO,African Development Bank (AfDB),LAO,Lao People's Democratic Republic,G,EU,Other Resources Regular,Education,R4,Protecting,EAPRO,2022,Private
Innovation and Research Grants,Public,Negotiating/Contracting,8/24/2024,Dollor,58981.11306,83613.69812,ORR Non-Thematic,Private sector fundraising - Special Purpose,Education,HAC-STATE OF PALESTINE,,C,67837.85055,,,Latvia,,,,19236.82728,22811366,Country Office,Public Sector,,GREECE CO,WCARO,Japan,,,NatCom,8/24/2024,TURKIYE CO,African Development Bank (AfDB),LVA,Latvia,C,EU,Other Resources Regular,SP,R4,Thriving,ECA,2023,Private
Country Programmes,Public,Secured/Won,4/25/2024,Dollor,73442.16012,83612.96093,ORE-Thematic,Data and Child Protection,Advocacy,HAC-ECARO,,EU ECHO,27710.57765,,,Lebanon,,,,21272.48649,8441415,Other,Public Sector,,UK NATCOM,EAPRO,Denmark,,,MENARO,4/25/2024,LEBANON CO,Bureau for Humanitarian Assistance,LBN,Lebanon,EU ECHO,Bilateral,Other Resources Regular,SP,R1,Learning,MENA,2022,Private
Partnership Funding,Private,Negotiating/Contracting,8/29/2024,Dollor,59478.6853,11957.97126,ORR Non-Thematic,Cross-sectoral Early Childhood Development,Emergency Response,HAC-UKRAINE,,EU ECHO,90759.86884,,,Lesotho,,,,53331.69888,1988330,Central Government,UNICEF NatCom/CO/Division,,KYRGYZSTAN CO,HQ,Russian Federation,,,HQ,8/29/2024,LEBANON CO,European Investment Bank,LSO,Lesotho,EU ECHO,EU,Other Resources Regular,SP,R3,Connecting,SSA,2022,Private
Country Programmes,Public,Secured/Won,9/5/2024,Dollor,63638.7395,78121.57186,Revenue Type,Other cross-sectoral programme areas,Health,HAC-ARMENIA,,ECHO,27512.14046,,,Liberia,,,,74006.61174,2632343,Foundation,Private Sector,,QATAR CO,NatCom,Uzbekistan,,,HQ,9/5/2024,SOMALIA CO,European Investment Bank,LBR,Liberia,ECHO,EU,Other Resources Regular,Child Protection,R3,Including,SSA,2023,Private
Innovation and Research Grants,Private,Negotiating/Contracting,3/24/2024,Dollor,86939.61099,50063.2191,Revenue Type,UNICEF capacity for Supply and Logistics,Education,HAC-UKRAINE,,Natcom A,18842.39199,,,Libya,,,,15916.06354,2659894,Country Office,Public Sector,,KYRGYZSTAN CO,HQ,United States,,,HQ,3/24/2024,UKRAINE CO,World Bank - Washington D.C.,LBY,Libya,Natcom A,Private,Other Resources Regular,Health,R5,Learning,MENA,2024,Private
Development Initiatives,Private,Negotiating/Contracting,8/13/2024,Dollor,701.9961656,20084.60838,ORR Non-Thematic,Care and Treatment of Children affected by HIV and AIDS,Emergency Response,Ukraine Response,,Natcom A,48516.98509,,,Liechtenstein,,,,77254.70792,14264171,IFI/RDB,Private Sector,,UZBEKISTAN CO,HQ,Greece,,,ESARO,8/13/2024,ARMENIA CO,Bureau for Humanitarian Assistance,LIE,Liechtenstein,Natcom A,Bilateral,Other Resources Emergency,Health,R3,Thriving,ECA,2024,Private
Advocacy and Policy Support,Public,Secured/Won,9/21/2024,Dollor,53528.9072,57550.77862,Revenue Type,Nutrition – Overweight & Obesity,Advocacy,HAC-ARMENIA,,Natcom c,54647.61262,,,Lithuania,,,,64798.18137,27052994,Central Government,Public Sector,,INNOVATION UNIT,HQ,Netherlands,,,HQ,9/21/2024,TURKIYE CO,African Development Bank (AfDB),LTU,Lithuania,Natcom c,EU,Other Resources Emergency,CP,R4,Thriving,ECA,2022,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,2/16/2024,Dollor,37965.06549,58257.05968,ORE-Thematic,Human resources management,Increased Immunization Rates,HAC-UKRAINE,,Natcom d,84171.43934,,,Luxembourg,,,,39944.48155,39722814,Global/Regional Multilaterals,Private Sector,,UKRAINE CO,NatCom,Cyprus,,,ECARO,2/16/2024,GEORGIA CO,Bureau for Humanitarian Assistance,LUX,Luxembourg,Natcom d,Bilateral,Other Resources Emergency,Health,R5,Learning,ECA,2023,Private
Partnership Funding,Private,Negotiating/Contracting,6/26/2024,Dollor,70630.90202,88622.42093,Revenue Type,Early Childhood Development,Health,HAC-ARMENIA,,G,79024.5945,,,Madagascar,,,,23693.936,38797054,Corporate,Public Sector,,US FUND,ROSA,Armenia,,,NatCom,6/26/2024,SERBIA CO,The United Kingdom,MDG,Madagascar,G,Private,Other Resources Regular,Child Protection,R1,Connecting,SSA,2024,Private
Global Thematic Programs,Private,Negotiating/Contracting,9/24/2024,Dollor,20230.97833,98700.42905,Revenue Type,WASH – General,Advocacy,HAC-UKRAINE,,Natcom d,61600.50316,,,Malawi,,,,25193.77274,747875,IFI/RDB,Corporate Account,,GREECE CO,HQ,Tajikistan,,,NatCom,9/24/2024,CROATIA CO,World Bank - Washington D.C.,MWI,Malawi,Natcom d,Private,Other Resources Regular,Child Protection,R3,Learning,SSA,2024,Private
Partnership Funding,Private,Secured/Won,10/12/2024,Dollor,33091.13159,82981.14077,ORR Non-Thematic,Health systems strengthening,Education,Emergency/HAC,,Natcom c,6189.298384,,,Malaysia,,,,54592.71366,29920238,Women's and diaspora organizations,Private Sector,,QATAR CO,NatCom,Netherlands,,,ESARO,10/12/2024,MONTENEGRO CO,Bill & Melinda Gates Foundation,MYS,Malaysia,Natcom c,Bilateral,Other Resources Emergency,ADAP,R3,Connecting,EAPRO,2022,Private
Global Thematic Programs,Private,Secured/Won,6/29/2024,Dollor,55886.52088,61086.62051,ORE-Thematic,Humanitarian Action,Education,HAC-UKRAINE,,G,43470.32648,,,Maldives,,,,68660.13035,4983119,Foundation,Private Sector,,KYRGYZSTAN CO,WCARO,Denmark,,,ECARO,6/29/2024,GEORGIA CO,African Development Bank (AfDB),MDV,Maldives,G,EU,Other Resources Emergency,Child Protection,R3,Learning,ROSA,2023,Private
Global Thematic Programs,Private,Negotiating/Contracting,1/21/2024,Dollor,2310.324709,6045.600785,ORE-Thematic,"Financial, information and communication technology and administrative managemen",Education,HAC-ECARO,,ECHO,96332.43571,,,Mali,,,,3969.323141,24515054,Country Office,Private Sector,,CROATIA CO,ROSA,Netherlands,,,HQ,1/21/2024,UKRAINE CO,European Investment Bank,MLI,Mali,ECHO,Private,Other Resources Regular,ADAP,R1,Learning,SSA,2024,Private
